Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
E09000004,Bexley,London Borough,60.5784,247835,4091,232774,3843
E09000005,Brent,London Borough,43.233000000000004,341221,7893,312245,7222
E09000006,Bromley,London Borough,150.1303,329578,2195,310554,2069
E09000008,Croydon,London Borough,86.49680000000001,392224,4535,364815,4218
E09000009,Ealing,London Borough,55.5445,369937,6660,339314,6109
E09000010,Enfield,London Borough,80.8308,327224,4048,313935,3884
E09000011,Greenwich,London Borough,47.306999999999995,291080,6153,255483,5401
E09000015,Harrow,London Borough,50.4635,261185,5176,240499,4766
E09000016,Havering,London Borough,112.3414,264703,2356,237927,2118
E09000017,Hillingdon,London Borough,115.70049999999999,310681,2685,275499,2381
E09000018,Hounslow,London Borough,55.970299999999995,290488,5190,254927,4555
E09000021,Kingston upon Thames,London Borough,37.2652,168302,4516,160436,4305
E09000024,Merton,London Borough,37.6248,214709,5707,200543,5330
E09000026,Redbridge,London Borough,56.4035,310911,5512,281395,4989
E09000027,Richmond upon Thames,London Borough,57.393699999999995,194894,3396,187527,3267
E09000029,Sutton,London Borough,43.84270000000001,210053,4791,191123,4359
E09000031,Waltham Forest,London Borough,38.8082,275887,7109,259742,6693
E12000008,SOUTH EAST,Region,19071.8507,9379833,492,8652784,454
E06000036,Bracknell Forest,Unitary Authority,109.3843,126881,1160,113696,1039
E06000043,Brighton and Hove,Unitary Authority,82.833,277965,3356,272952,3295
E06000046,Isle of Wight,Unitary Authority,379.6199,140794,371,138392,365
E06000035,Medway,Unitary Authority,193.71419999999998,282702,1459,264885,1367
E06000042,Milton Keynes,Unitary Authority,308.6265,292180,947,249895,810
E06000044,Portsmouth,Unitary Authority,40.3816,208420,5161,205433,5087
E06000038,Reading,Unitary Authority,40.3979,174820,4327,155339,3845
E06000039,Slough,Unitary Authority,32.5421,159182,4892,140713,4324
E06000045,Southampton,Unitary Authority,49.8807,252689,5066,235870,4729
E06000037,West Berkshire,Unitary Authority,704.1828999999999,162215,230,154148,219
E06000040,Windsor and Maidenhead,Unitary Authority,196.50169999999997,154738,787,145098,738
E06000041,Wokingham,Unitary Authority,178.96900000000002,180967,1011,154943,866
E06000060,Buckinghamshire,Unitary Authority,1564.9377,560409,358,506550,324
E10000011,East Sussex,County,1708.6319,550720,322,527209,309
E07000061,Eastbourne,Non-metropolitan District,44.1614,102247,2315,99308,2249
E07000062,Hastings,Non-metropolitan District,29.7964,90622,3041,90173,3026
E07000063,Lewes,Non-metropolitan District,292.107,100677,345,97584,334
E07000064,Rother,Non-metropolitan District,509.4414,94162,185,90729,178
E07000065,Wealden,Non-metropolitan District,833.1257,163012,196,149415,179
E10000014,Hampshire,County,3678.3567,1416808,385,1322118,359
E07000084,Basingstoke and Deane,Non-metropolitan District,633.8086,187817,296,168550,266
E07000085,East Hampshire,Non-metropolitan District,514.4274,127319,247,116010,226
E07000086,Eastleigh,Non-metropolitan District,79.69149999999999,138935,1743,125852,1579
E07000087,Fareham,Non-metropolitan District,74.2526,114547,1543,111931,1507
E07000088,Gosport,Non-metropolitan District,25.3739,82285,3243,82669,3258
E07000089,Hart,Non-metropolitan District,215.2651,100910,469,91662,426
E07000090,Havant,Non-metropolitan District,55.7408,124854,2240,120783,2167
E07000091,New Forest,Non-metropolitan District,752.1755,175942,234,176789,235
E07000092,Rushmoor,Non-metropolitan District,39.045100000000005,101060,2588,94354,2417
E07000093,Test Valley,Non-metropolitan District,627.6055,132871,212,116698,186
E07000094,Winchester,Non-metropolitan District,660.9707000000001,130268,197,116820,177
E10000016,Kent,County,3544.3951,1593191,449,1466466,414
E07000105,Ashford,Non-metropolitan District,580.6174,135610,234,118405,204
E07000106,Canterbury,Non-metropolitan District,308.7527,157550,510,150600,488
E07000107,Dartford,Non-metropolitan District,72.72579999999999,118820,1634,97604,1342
E07000108,Dover,Non-metropolitan District,315.3378,117473,373,111718,354
E07000112,Folkestone and Hythe,Non-metropolitan District,356.9211,110237,309,108199,303
E07000109,Gravesham,Non-metropolitan District,98.9913,106970,1081,101766,1028
E07000110,Maidstone,Non-metropolitan District,393.3293,180428,459,155764,396
E07000111,Sevenoaks,Non-metropolitan District,369.23080000000004,121106,328,115351,312
E07000113,Swale,Non-metropolitan District,373.43660000000006,154619,414,136324,365
E07000114,Thanet,Non-metropolitan District,103.6091,140689,1358,134402,1297
E07000115,Tonbridge and Malling,Non-metropolitan District,240.11450000000002,133661,557,121087,504
E07000116,Tunbridge Wells,Non-metropolitan District,331.3287,116028,350,115246,348
E10000025,Oxfordshire,County,2604.9263,738276,283,654791,251
E07000177,Cherwell,Non-metropolitan District,588.7454,164155,279,142252,242
E07000178,Oxford,Non-metropolitan District,45.602700000000006,163257,3580,150245,3295
E07000179,South Oxfordshire,Non-metropolitan District,678.4922,151820,224,134961,199
E07000180,Vale of White Horse,Non-metropolitan District,577.6639,142116,246,121891,211
E07000181,West Oxfordshire,Non-metropolitan District,714.4221000000001,116928,164,105442,148
E10000030,Surrey,County,1662.5175,1214540,731,1135367,683
E07000207,Elmbridge,Non-metropolitan District,95.0521,140024,1473,131428,1383
E07000208,Epsom and Ewell,Non-metropolitan District,34.0791,81184,2382,75191,2206
E07000209,Guildford,Non-metropolitan District,270.9311,145673,538,137580,508
